code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,date_registration,target,total_clicks
AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,-159.0,0,934.0
AAA,2013J,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,-53.0,0,1435.0
AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,-92.0,1,281.0
AAA,2013J,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,-52.0,0,2158.0
AAA,2013J,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,-176.0,0,1034.0
AAA,2013J,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,-110.0,0,2445.0
AAA,2013J,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,-67.0,0,1492.0
AAA,2013J,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,-29.0,0,1428.0
AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,-33.0,0,1894.0
AAA,2013J,M,North Region,Post Graduate Qualification,Unknown,55<=,0,60,N,-179.0,0,3158.0
AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,-103.0,0,1319.0
AAA,2013J,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,-47.0,0,1732.0
AAA,2013J,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,-59.0,0,1102.0
AAA,2013J,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,-68.0,0,3388.0
AAA,2013J,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,-67.0,0,2737.0
AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,-180.0,1,176.0
AAA,2013J,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,-95.0,0,1053.0
AAA,2013J,M,Ireland,HE Qualification,Unknown,35-55,0,60,N,-130.0,0,2327.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,-50.0,0,116.0
